jit6bei3    齧臂
jit6syut3caan1zin1 齧雪餐氈
jiu1gwat1   腰骨
joek6zaa1   藥渣
joeng5maau1 養貓
joeng6zi2   樣子
jung1tung4wo4 翁同龢
jung4ji6    容易
jung6dik1   用的
jyu4ci1     齵差
jyu4daan6   魚蛋
jyu4naam5   魚腩
jyu4pin3    魚片
jyu4pin3zuk1 魚片粥
jyu4pin3zuk1ngaam4ngaam4suk6 魚片粥岩岩熟
jyu4pin3zuk1ngaam4ngaam4suk6 魚片粥巖巖熟
jyu4saang1  魚生
jyu4saang1zuk1 魚生粥
jyu4saang1zuk1gan2suk6 魚生粥僅熟
jyu4waat6   魚滑
jyu5mei4mei4 雨溦溦
jyu5ze1     雨遮
jyu5zo6     語助
jyu6zoek6   遇着
jyu6zoek6   遇著
jyun4       藥丸
jyun4juk6   元肉
jyun4seoi1  芫荽
jyun4seoi1cung1 芫荽蔥
jyun5ngok6  軟齶
jyun5suk6   軟熟
jyun5suk6   輭熟
jyun6sing4  縣丞
jyut3cau2   乙丑
jyut3hoi6   乙亥
jyut3jau5   乙酉
jyut3maau5  乙卯
jyut3mei6   乙未
jyut3zi6    乙巳
jyut6giu3jyut6zau2 越叫越走
jyut6jan4   粵人
kap1gwat1   鈒骨
kap6dai6zuk1 及第粥
kei4kei4    奇奇
kei4le4     騎咧
kei4lit6    騎咧
kei4maa5    騎馬
kei4ngau4wan2maa5 騎牛搵馬
kei4soeng6gaa1kei4 奇上加奇
kei5hei2    企起
kei5kei5lei5lei5 企企理理
kei5lei5    企理
keoi5dei6   佢哋
keoi5ge3    佢嘅
keoi5giu3   佢叫
keoi5hai2   佢喺
king1gai2   傾偈
king1haa6   傾下
koi3zo6     丐助
kwan1kwan1  琨琨
kyun4jin4ji4siu3 齤然而笑
kyut3hau2   缺口
kyut3ngaa3  缺齾
laan4lai4laan4heoi3 躝嚟躝去
laan4lei4laan4heoi3 躝嚟躝去
laan4si1    躝屍
laan4si1gat6lou6 躝屍䞘路
laan4si1gat6lou6 躝屍趌路
laan6zaa1   爛渣
laang5saam1 冷衫
laap6aap3   臘鴨
laap6ngaap3 臘鴨
laap6taap3  邋遢
laat6taap3  邋遢
lai4gaa3    嚟架
lai4heoi3   嚟去
lai6paai4   例牌
lam6zau2    冧酒
lau4tai1    樓梯
lei4gaa3    嚟架
lei4heoi3   嚟去
lei5ngong4  里昂
lei6ji5     利爾
lei6si5     利市
leng3neoi5  靚女
leng3zai2   靚仔
