a 亜
humoto 麓
hun 分
hun 吻
hun 噴
hun 墳
hun 奮
hun 憤
hun 扮
hun 粉
hun 糞
hun 紛
hun 雰
huna 鰭
hundoshi 褌
hundosi 褌
hune 船
huru 古
hurui 篩
husa 房
husa 総
husuma 絑
husuma 襖
husuma 麩
huta 蓋
huti 淵
hutokoro 懐
hutsu 仏
hutsu 払
hutsu 沸
hutu 仏
hutu 払
hutu 沸
huu 夫
huu 富
huu 封
huu 風
huurou 梟
huyu 冬
huzi 藤
hyaku 百
hyou 俵
hyou 兵
hyou 拍
hyou 標
hyou 氷
hyou 漂
hyou 票
hyou 表
hyou 評
hyou 豹
hyou 雹
i 亥
i 以
i 伊
i 位
i 依
i 偉
i 医
i 唯
i 囲
i 委
i 威
i 尉
i 意
i 慰
i 易
i 為
i 畏
i 異
i 移
i 維
i 緯
i 胃
i 蘭
i 衣
i 違
i 遺
ibara 茨
ibiki 鼾
ibitsu 歪
ibitu 歪
ibo 疣
ichi 一
ichi 壱
ichi 市
ichi 逸
ichigo 莓
ichii 櫟
ie 家
iga 毯
ikada 筏
ikari 碇
ikari 錨
ike 池
iki 域
iki 息
iki 粋
iku 幾
iku 育
ikusa 戦
ima 今
imo 芋
imouto 妹
in 印
in 咽
in 員
in 因
in 姻
in 引
in 院
in 陰
in 隠
in 音
in 韻
in 飲
inago 蝗
ine 稲
inishie 古
inisie 古
inochi 命
inoshishi 猪
inosisi 猪
inoti 命
inu 戌
inu 犬
iori 庵
iraka 甍
iro 色
ishi 石
ishizue 礎
isi 石
isizue 礎
iso 磯
isuka 筀
ita 板
itachi 鼬
itadaki 頂
itati 鼬
iti 一
iti 壱
iti 市
iti 逸
itigo 莓
itii 櫟
ito 糸
itoma 暇
itsu 一
itsu 逸
itu 一
itu 逸
iwa 岩
iwao 巖
iwashi 鰯
iwasi 鰯
iya 否
iya 嫌
iyoiyo 菃
izumi 泉
ji 事
ji 仕
ji 似
ji 侍
ji 児
ji 地
ji 士
ji 字
ji 寺
ji 慈
ji 持
ji 時
ji 次
ji 治
ji 滋
ji 璽
ji 痔
ji 磁
ji 示
ji 耳
ji 自
ji 辞
ji 除
ji 餌
jijii 爺
jika 直
jiki 直
jiku 軸
jin 人
jin 仁
jin 刃
jin 塵
jin 尋
jin 尽
jin 甚
jin 神
jin 腎
jin 臣
jin 迅
jin 陣
jin 靱
jitsu 実
jitsu 日
jya 蛇
jya 邪
jyaku 寂
jyaku 弱
jyaku 着
jyaku 若
jyo 助
jyo 叙
jyo 女
jyo 如
jyo 序
jyo 徐
jyo 除
jyoku 辱
jyou 丈
jyou 上
jyou 乗
jyou 冗
jyou 剰
jyou 城
jyou 場
jyou 壌
jyou 嬢
jyou 定
jyou 常
jyou 情
jyou 成
jyou 条
jyou 浄
jyou 状
jyou 畳
jyou 縄
jyou 蒸
jyou 譲
jyou 醸
jyou 錠
jyou 静
jyu 儒
jyu 十
jyu 受
jyu 呪
jyu 寿
jyu 就
jyu 従
jyu 授
jyu 樹
jyu 狩
jyu 珠
jyu 需
jyuku 塾
jyuku 熟
jyun 准
jyun 巡
jyun 循
jyun 旬
jyun 殉
jyun 準
jyun 潤
jyun 盾
jyun 純
jyun 遵
jyun 順
jyutsu 術
jyutsu 述
jyuu 中
jyuu 住
jyuu 充
jyuu 十
jyuu 従
jyuu 拾
jyuu 柔
jyuu 汁
jyuu 渋
jyuu 獣
jyuu 縦
jyuu 聚
jyuu 重
jyuu 銃
ka 下
ka 仮
ka 何
ka 佳
ka 価
ka 個
ka 加
ka 化
ka 口
ka 可
ka 夏
ka 嫁
ka 家
ka 寡
ka 日
ka 暇
ka 果
ka 架
ka 歌
ka 河
ka 渦
ka 火
ka 禍
ka 科
ka 稼
ka 花
ka 荷
ka 菓
ka 華
ka 蚊
ka 課
ka 貨
ka 過
ka 靴
ka 香
kaban 鞄
kabane 屍
kabe 壁
kabi 黴
kabu 株
kabu 蕪
kabura 镝
kaburi 頭
kabuto 兜
kado 廉
kado 角
kado 門
kaede 楓
kaeru 蛙
kagami 鏡
kagami 鑑
kage 影
kagi 鈎
kagi 鍵
kago 籠
kai 介
kai 会
kai 回
kai 塊
kai 壊
kai 快
kai 怪
kai 悔
kai 懐
kai 戒
kai 拐
kai 改
kai 械
kai 櫂
kai 海
kai 潰
kai 界
kai 皆
kai 絵
kai 街
kai 解
kai 貝
kai 軮
kai 開
kai 階
kaiko 蚕
kaji 梶
kaji 舵
kakaa 嚊
kakaa 嬶
kakari 係
kakato 踵
kake 賭
kakehi 筧
kaki 垣
kaki 柿
kaku 各
kaku 嚇
kaku 客
kaku 拡
kaku 核
kaku 格
kaku 殻
kaku 獲
kaku 画
kaku 確
kaku 穫
kaku 脚
kaku 覚
kaku 角
kaku 較
kaku 郭
kaku 閣
kaku 隔
kaku 革
kama 罐
kama 釜
kama 鎌
kamachi 框
kamado 灶
kamasu 叺
kamati 框
kame 亀
kame 瓶
kami 神
kami 紙
kami 髪
kaminari 雷
kamo 鴨
kamome 鴎
kan 乾
kan 冠
kan 刊
kan 勘
kan 勧
kan 喚
kan 堪
kan 完
kan 官
kan 寒
kan 寛
kan 巻
kan 干
kan 徯
kan 患
kan 感
kan 慣
kan 憾
kan 換
kan 敢
kan 棺
kan 款
kan 歓
kan 汗
kan 漢
kan 灌
kan 燗
kan 環
kan 甘
kan 甲
kan 癇
kan 監
kan 看
kan 管
kan 簡
kan 緩
kan 缶
kan 肝
kan 艦
kan 観
kan 貫
kan 還
kan 鑑
kan 閑
kan 間
kan 関
kan 陥
kan 館
kanae 鼎
kaname 要
kane 金
kane 鐘
kani 蟹
kanmuri 冠
kanna 鉋
kannuki 閂
kanzashi 簪
kanzasi 簪
kao 軴
kara 殻
kara 空
karada 体
karakasa 傘
karami 锾
karamushi 苧
karamusi 苧
karasu 烏
karasu 鴉
karasuki 犁
kare 彼
karei 鰈
kari 狩
kari 雁
kasa 傘
kasa 嵩
kasa 暈
kasa 瘡
kasa 笠
kasasagi 鹊
kase 枷
kashi 傾
kashi 樫
kashiwa 柏
kashiwa 槲
kasi 傾
kasi 樫
kasiwa 柏
kasiwa 槲
kasu 滓
kasu 粕
kasugai 鎹
kasumi 霞
kasuri 絣
kata 型
kata 形
kata 方
kata 片
kata 肩
katagata 旁
kataki 敵
katamari 塊
katana 刀
kate 糧
katsu 割
katsu 合
katsu 喝
katsu 括
katsu 活
katsu 渇
katsu 滑
katsu 褐
katsu 轄
katsuo 鲣
katsura 桂
katsura 鬘
katu 割
katu 合
katu 喝
katu 括
katu 活
katu 渇
katu 滑
katu 褐
katu 轄
katuo 鲣
katura 桂
katura 鬘
kawa 側
kawa 川
kawa 皮
kawa 革
kawara 瓦
kawauso 獺
kawaya 厠
kawazu 蛙
kayu 粥
kaze 風
kazi 梶
kazi 舵
kazu 数
ke 仮
ke 化
ke 家
ke 希
ke 快
ke 怪
ke 悔
ke 懸
ke 毛
ke 気
ke 華
kechi 結
kedamono 獣
kei 京
kei 係
kei 傾
kei 兄
kei 刑
kei 啓
kei 型
kei 境
kei 契
kei 形
kei 径
kei 恵
kei 慶
kei 憩
kei 掲
kei 携
kei 敬
kei 景
kei 渓
kei 競
kei 系
kei 経
kei 継
kei 茎
kei 蛍
kei 計
kei 警
kei 軽
kei 鶏
kemono 獣
kemuri 煙
ken 件
ken 倹
ken 健
ken 兼
ken 券
ken 剣
ken 厳
ken 圈
ken 堅
ken 嫌
ken 巻
ken 建
ken 憲
ken 懸
ken 拳
ken 検
ken 権
ken 牽
ken 犬
ken 献
ken 監
ken 研
ken 絹
ken 繭
ken 肩
ken 見
ken 謙
ken 賢
ken 軒
ken 遣
ken 鍵
ken 間
ken 険
ken 顕
ken 験
keta 桁
keti 結
ketsu 傑
ketsu 欠
ketsu 決
ketsu 潔
ketsu 穴
ketsu 結
ketsu 血
ketu 傑
ketu 欠
ketu 決
ketu 潔
ketu 穴
ketu 結
ketu 血
keyaki 欅
ki 企
ki 危
ki 喜
ki 器
ki 基
ki 奇
ki 季
ki 寄
ki 岐
ki 己
ki 希
ki 帰
ki 幾
ki 忌
ki 揮
ki 旗
ki 既
ki 期
ki 木
ki 机
ki 棄
ki 棋
ki 機
ki 欺
ki 毅
ki 気
ki 汽
ki 生
ki 祈
ki 紀
ki 規
ki 記
ki 貴
ki 起
ki 軌
ki 輝
ki 飢
ki 騎
ki 鬼
ki 黄
kiba 牙
kibi 黍
kibisu 踵
kichi 吉
kiji 雉
kiku 菊
kimi 君
kimo 肝
kin 京
kin 今
kin 僅
kin 勤
kin 均
kin 巾
kin 斤
kin 欣
kin 琴
kin 禁
kin 筋
kin 緊
kin 菌
kin 襟
kin 謹
kin 近
kin 金
kine 杵
kinoko 茸
kinu 絹
kinuta 砧
kiri 桐
kiri 霧
kisaki 后
kishi 岸
kisi 岸
kita 北
kiti 吉
kitsu 吉
kitsu 喫
kitsu 詰
kitsune 狐
kitu 吉
kitu 喫
kitu 詰
kitune 狐
kiwa 際
kiwara 鰆
kizahashi 階
kizahasi 階
kizi 雉
kizu 傷
kizu 瑕
kizu 疵
kizuna 絆
ko 個
ko 去
ko 古
ko 呼
ko 固
ko 子
ko 孤
ko 居
ko 巨
ko 己
ko 庫
ko 弧
ko 戸
ko 拠
ko 故
ko 枯
ko 湖
ko 火
ko 股
ko 虚
ko 誇
ko 雇
ko 顧
ko 鼓
kobi 媚
kobu 瘤
kobushi 拳
kobusi 拳
koe 声
koi 恋
koke 苔
kokera 柿
kokoro 心
kokorozashi 志
kokorozasi 志
koku 克
koku 刻
koku 告
koku 国
koku 石
koku 穀
koku 谷
koku 酷
koku 黒
koma 駒
kome 米
kon 今
kon 困
kon 墾
kon 婚
kon 建
kon 恨
kon 懇
kon 昆
kon 根
kon 混
kon 献
kon 紺
kon 金
kon 魂
kona 粉
koori 氷
kore 是
kori 梱
koro 頃
koromo 衣
koshi 腰
koshi 輿
kosi 腰
kosi 輿
kotae 答
kote 鏝
koto 事
koto 琴
kotobuki 寿
kotowari 理
kotsu 滑
kotsu 骨
kotu 滑
kotu 骨
kou 交
kou 仰
kou 候
kou 光
kou 公
kou 功
kou 効
kou 厚
kou 口
kou 后
kou 向
kou 坑
kou 好
kou 孔
kou 孝
kou 工
kou 巧
kou 幸
kou 広
kou 康
kou 後
kou 恒
kou 慌
kou 抗
kou 押
kou 拘
kou 控
kou 攻
kou 昂
kou 更
kou 校
kou 格
kou 構
kou 横
kou 江
kou 洪
kou 港
kou 溝
kou 甲
kou 皇
kou 硬
kou 稿
kou 紅
kou 絞
kou 綱
kou 考
kou 耕
kou 耗
kou 肯
kou 腔
kou 膠
kou 興
kou 航
kou 荒
kou 行
kou 衡
kou 講
kou 貢
kou 購
kou 郊
kou 酵
kou 鉱
kou 鋼
kou 降
kou 項
kou 香
kou 高
kou 黄
kouji 麹
kouzi 麹
koyomi 暦
kozue 梢
ku 久
ku 九
ku 供
ku 功
ku 区
ku 句
ku 宮
ku 工
ku 庫
ku 救
ku 紅
ku 苦
ku 貢
ku 駆
kubi 首
kubisu 踵
kuchi 口
kuchibashi 嘴
kuchibiru 唇
kuda 管
kudari 件
kugi 釘
kui 杙
kui 杭
kuji 簽
kujira 鯨
kuki 茎
kuma 熊
kuma 隈
kumi 組
kumo 雲
kumori 曇
kun 勲
kun 君
kun 薫
kun 訓
kuni 国
kura 倉
kura 鞍
kurai 位
kure 暮
kurenai 紅
kuri 栗
kuro 畔
kuro 黒
kurogane 鉄
kurubushi 踝
kurubusi 踝
kuruma 車
kusa 草
kusabi 楔
kusari 鎖
kuse 癖
kushami 嚏
kushi 串
kushi 櫛
kusi 串
kusi 櫛
kuso 糞
kusunoki 樟
kusuri 薬
kusyami 嚏
kuti 口
kutibasi 嘴
kutibiru 唇
