가중 家中
가중범 加重犯
가중처벌 加重處罰
가중처벌하다 加重處罰하다
가중치 加重値
가중평균 加重平均
가중하다 加重하다
가중하다 苛重하다
가중형 加重刑
가증 加增
가증 加症
가증금 加增金
가증률 加增率
가증맞다 可憎맞다
가증스럽다 可憎스럽다
가증스레 可憎스레
가증하다 加增하다
가증하다 加症하다
가증하다 可憎하다
가지 加持
가지 可知
가지각색 가지各色
가지급 假支給
가지급금 假支給金
가지급하다 假支給하다
가지기도 加持祈禱
가지무늬토기 가지무늬土器
가지방 加地枋
가지하다 加持하다
가직 家直
가진대이름씨 가진代이름씨
가질 假質
가질 家秩
가집 加執
가집 家集
가집 家什
가집 歌集
가집하다 加執하다
가집행 假執行
가집행하다 假執行하다
가짓수 가짓數
가징 加徵
가징하다 加徵하다
가짜 假짜
가짜목청 假짜목청
가짜배기 假짜배기
가차 假借
가차압 假差押
가차없다 假借없다
가차없이 假借없이
가차하 加差下
가차하다 假借하다
가차하하다 加差下하다
가찬 佳饌
가찬 嘉饌
가찰 苛察
가찰하다 苛察하다
가창 歌唱
가창 街娼
가창력 歌唱力
가창하다 歌唱하다
가채 可採
가책 呵責
가책 苛責
가책하다 呵責하다
가책하다 苛責하다
가처분 假處分
가처분소득 可處分所得
가처분하다 假處分하다
가척 歌尺
가철 假綴
가철본 假綴本
가철하다 假綴하다
가첨 加添
가첨밥 加添밥
가첨잠 加添잠
가첨하다 加添하다
가첩 家牒
가청 可聽
가청음 可聽音
가체 歌體
가촌 街村
가추 假椎
가추렴 加出斂
가추렴하다 加出斂하다
가축 家畜
가축법정전염병 家畜法定傳染病
가축상 家畜商
가출 加出
가출 家出
가출소 假出所
가출소하다 假出所하다
가출옥 假出獄
가출옥하다 假出獄하다
가출하다 家出하다
가취 佳趣
가취 加取
가취 嫁娶
가취 歌吹
가취성 可取性
가취하다 加取하다
가취하다 可取하다
가취하다 嫁娶하다
가취하다 歌吹하다
가측값 可測값
가치 假齒
가치 價値
가치관 價値觀
가치론 價値論
가치설 價値說
가치척도 價値尺度
가치철학 價値哲學
가치판단 價値判斷
가치학설 價値學說
가치형태 價値形態
가친 家親
가칠 假칠
가칠 加칠
가칠장이 假칠장이
가칠하다 假칠하다
가칠하다 加칠하다
가칭 假稱
가칭하다 假稱하다
가타 伽陀
가타부타 可타否타
가탁 假託
가탁하다 假託하다
가탄 嘉歎
가탄하다 可歎하다
가탄하다 嘉歎하다
가태 假態
가택 家宅
가택수색 家宅搜索
가토 加土
가토하다 加土하다
가톨릭교 가톨릭敎
가톨릭교도 가톨릭敎徒
가통 家統
가통하다 可痛하다
가판 架版
가판 街販
가판하다 架版하다
가판하다 街販하다
가패 歌唄
가편 佳篇
가편 加鞭
가편 可便
가편하다 加鞭하다
가평 嘉平
가평 苛評
가평월 嘉平月
가평절 嘉平節
가평하다 苛評하다
가포 價布
가표 加標
가표 可票
가품 佳品
가품 家品
가풍 家風
가풍 歌風
가피 加被
가피 痂皮
가피력 加被力
가피하다 加被하다
가필 加筆
가필 呵筆
가필하다 加筆하다
가필하다 呵筆하다
가하 加下
가하다 加하다
가하다 可하다
가하지다 加下지다
가하하다 加下하다
가학 家學
가학애 加虐愛
가한 可汗
가합하다 可合하다
가항 街巷
가해 加害
가해자 加害者
가해하다 加害하다
가행 加行
가행 家行
가행 稼行
가향 佳香
가향 家鄕
가현 假現
가현운동 假現運動
가현하다 假現하다
가형 加刑
가형 家兄
가형하다 加刑하다
가호 加護
가호 家戶
가호적 假戶籍
가호하다 加護하다
가혹하다 苛酷하다
가혹히 苛酷히
가화 佳話
가화 假花
가화 嘉禾
가화 家禍
가화만사성 家和萬事成
가확 街廓
가환 家患
가환부 假還付
가환부하다 假還付하다
가환지 假換地
가황 加黃
가황고무 加黃고무
가황하다 加黃하다
가회 佳會
가회 嘉會
가획 加劃
가획하다 加劃하다
가효 佳肴
가효 嘉肴
가후 駕後
가훈 家訓
가훼 嘉卉
가휘 家諱
가흥 佳興
가희 佳姬
가희 歌姬
가히 可히
각 刻
각 各
각 殼
각 脚
각 覺
각 角
각가속도 角加速度
각가지 各가지
각각 刻刻
각각 各各
각간 角干
각개 各個
각개격파 各個擊破
각개약진 各個躍進
각개전투 各個戰鬪
각개점호 各個點呼
각거 各居
각거리 角距離
각거하다 各居하다
각건 恪虔
각건 角巾
각건하다 恪虔하다
각경증 脚硬症
각계 各界
각계각층 各界各層
각고 刻苦
각고 恪固
각고 覺苦
각고면려 刻苦勉勵
각고면려하다 刻苦勉勵하다
각고하다 刻苦하다
각고하다 恪固하다
각골 刻骨
각골 脚骨
각골난망 刻骨難忘
각골난망하다 刻骨難忘하다
각골명심 刻骨銘心
각골명심하다 刻骨銘心하다
각골하다 刻骨하다
각공 刻工
각공계 各貢契
각과 各科
각과 殼果
각괄호 角括弧
각광 脚光
각국 各國
각궁 角弓
각궁반장 角弓反張
각근 恪勤
각근 恪謹
각근면려 恪勤勉勵
각근면려하다 恪勤勉勵하다
각근하다 恪勤하다
각근하다 恪謹하다
각급 各級
각기 刻期
각기 各其
각기 脚氣
각기 角器
각기 角旗
각기둥 角기둥
각기병 脚氣病
각기소장 各其所長
각기하다 刻期하다
